[0, 42, 40, 40, 34, 41, 43, 44, 43, 42, 44, 43, 41, 44, 44, 46, 39, 42, 41, 42, 40, 42, 44, 42, 42, 41, 44, 42, 42, 44, 46, 43, 42, 42, 42, 42, 42, 42, 42, 44, 42, 38, 43, 42, 41, 40, 42, 48, 40, 42, 41, 41, 41, 40, 40, 44, 38, 42, 40, 38, 44, 42, 44, 42, 43, 42, 44, 44, 42, 42, 40, 43, 44, 42, 43, 40, 41, 44, 46, 42, 42, 39, 42, 43, 42, 43, 43, 44, 43, 44, 42, 42, 42, 42, 79, 44, 45, 44, 43, 44, 41, 41, 46, 42, 44, 39, 63, 42, 46, 44, 44, 42, 41, 40, 45, 46, 42, 44, 42, 44, 44, 48, 40, 42, 48, 41, 43, 46, 40, 42, 42]
[42, 0, 23, 25, 26, 34, 24, 23, 24, 25, 23, 24, 24, 40, 25, 25, 26, 25, 26, 24, 24, 24, 24, 25, 23, 22, 30, 22, 25, 24, 46, 22, 23, 24, 25, 24, 23, 23, 22, 24, 25, 25, 22, 26, 25, 40, 25, 48, 26, 41, 26, 37, 26, 25, 26, 24, 28, 23, 24, 25, 24, 28, 24, 37, 24, 33, 24, 24, 22, 24, 24, 24, 37, 26, 24, 26, 24, 25, 26, 27, 24, 22, 22, 24, 24, 24, 24, 33, 30, 28, 23, 34, 26, 24, 79, 27, 27, 26, 26, 24, 28, 35, 26, 35, 24, 24, 62, 24, 26, 32, 26, 24, 24, 23, 24, 26, 24, 24, 24, 24, 24, 59, 40, 24, 50, 36, 32, 45, 28, 31, 21]
[40, 23, 0, 13, 22, 32, 14, 21, 14, 22, 13, 12, 10, 38, 9, 10, 18, 17, 16, 6, 19, 9, 8, 18, 20, 6, 29, 10, 8, 10, 45, 7, 8, 16, 17, 20, 16, 10, 6, 8, 17, 11, 9, 18, 14, 38, 23, 47, 24, 39, 19, 36, 16, 13, 14, 10, 24, 18, 24, 20, 22, 27, 16, 35, 8, 31, 13, 22, 8, 13, 14, 9, 37, 23, 24, 18, 23, 25, 11, 28, 19, 13, 9, 12, 14, 13, 21, 33, 26, 28, 22, 33, 22, 10, 79, 27, 45, 12, 22, 10, 26, 35, 17, 33, 13, 22, 64, 15, 14, 33, 18, 14, 12, 7, 12, 16, 20, 8, 12, 18, 18, 58, 40, 19, 49, 32, 32, 45, 26, 30, 16]
[40, 25, 13, 0, 21, 34, 17, 21, 17, 22, 17, 17, 15, 37, 18, 19, 19, 19, 19, 16, 25, 16, 17, 21, 22, 16, 29, 15, 18, 17, 45, 16, 17, 19, 19, 24, 20, 15, 15, 16, 19, 15, 17, 19, 18, 37, 23, 47, 22, 41, 19, 37, 19, 18, 18, 17, 28, 24, 26, 25, 24, 29, 16, 34, 17, 33, 17, 23, 16, 17, 17, 17, 39, 23, 26, 18, 25, 25, 19, 30, 21, 17, 16, 17, 19, 17, 23, 31, 26, 27, 25, 35, 22, 17, 77, 28, 45, 19, 24, 18, 25, 35, 19, 34, 17, 23, 60, 16, 19, 32, 17, 16, 15, 15, 19, 19, 26, 17, 17, 20, 20, 56, 38, 23, 50, 34, 32, 45, 27, 30, 19]
[34, 26, 22, 21, 0, 34, 21, 21, 22, 22, 22, 21, 22, 38, 23, 24, 20, 20, 18, 22, 25, 22, 21, 21, 22, 22, 31, 21, 24, 22, 45, 22, 22, 24, 19, 24, 24, 21, 22, 24, 20, 19, 22, 20, 19, 37, 24, 46, 23, 38, 21, 34, 17, 18, 21, 22, 27, 23, 24, 24, 23, 30, 22, 36, 22, 31, 22, 24, 22, 22, 22, 22, 36, 24, 26, 24, 25, 26, 24, 30, 24, 23, 22, 22, 22, 22, 24, 33, 30, 26, 25, 33, 22, 22, 77, 27, 45, 21, 22, 24, 22, 36, 24, 35, 21, 25, 64, 23, 23, 33, 24, 22, 22, 22, 24, 24, 26, 22, 22, 24, 24, 53, 37, 22, 46, 33, 34, 46, 28, 30, 24]
[41, 34, 32, 34, 34, 0, 29, 35, 30, 33, 31, 29, 28, 37, 35, 36, 36, 36, 34, 31, 32, 34, 34, 34, 31, 32, 36, 34, 34, 33, 42, 34, 34, 34, 36, 34, 34, 34, 34, 36, 36, 34, 34, 36, 34, 41, 32, 45, 34, 38, 36, 37, 34, 34, 34, 33, 31, 32, 32, 31, 33, 34, 34, 36, 33, 34, 34, 34, 33, 34, 33, 34, 37, 34, 34, 32, 32, 36, 36, 32, 34, 33, 34, 33, 31, 34, 30, 34, 30, 36, 33, 34, 35, 34, 76, 32, 46, 34, 33, 36, 34, 35, 35, 32, 31, 32, 64, 33, 35, 33, 35, 33, 32, 33, 36, 36, 31, 34, 31, 34, 33, 56, 40, 30, 49, 35, 35, 46, 32, 32, 34]
[43, 24, 14, 17, 21, 29, 0, 16, 11, 20, 9, 9, 12, 40, 15, 16, 18, 17, 16, 14, 23, 16, 12, 19, 20, 14, 31, 12, 16, 14, 47, 14, 14, 16, 16, 22, 18, 12, 14, 16, 18, 15, 14, 16, 15, 37, 23, 46, 24, 39, 18, 36, 18, 16, 16, 14, 26, 22, 26, 25, 21, 28, 16, 36, 13, 33, 14, 21, 13, 14, 14, 14, 34, 24, 24, 21, 23, 26, 15, 29, 19, 15, 14, 14, 16, 14, 19, 32, 26, 26, 21, 33, 23, 13, 76, 24, 46, 16, 23, 16, 25, 34, 15, 34, 10, 20, 61, 15, 10, 27, 16, 14, 13, 13, 16, 16, 24, 14, 14, 18, 18, 58, 38, 14, 48, 36, 31, 46, 28, 28, 17]
[44, 23, 21, 21, 21, 35, 16, 0, 18, 20, 19, 20, 19, 41, 20, 20, 17, 17, 17, 21, 25, 21, 21, 20, 24, 21, 31, 21, 21, 21, 46, 21, 21, 21, 17, 24, 21, 21, 21, 21, 17, 18, 21, 18, 18, 38, 25, 47, 24, 40, 19, 34, 17, 17, 21, 21, 29, 24, 26, 25, 24, 28, 21, 39, 21, 35, 20, 24, 21, 21, 21, 21, 38, 26, 26, 23, 25, 26, 21, 31, 21, 21, 21, 21, 21, 21, 23, 32, 29, 26, 25, 37, 21, 19, 78, 27, 43, 17, 23, 20, 26, 36, 19, 37, 19, 23, 63, 20, 19, 31, 21, 21, 17, 20, 20, 19, 26, 21, 21, 21, 21, 62, 40, 22, 45, 36, 32, 48, 29, 33, 21]
[43, 24, 14, 17, 22, 30, 11, 18, 0, 22, 10, 12, 14, 40, 15, 16, 18, 17, 18, 14, 23, 16, 14, 21, 22, 14, 31, 14, 16, 14, 47, 14, 14, 16, 18, 22, 18, 14, 14, 16, 18, 16, 14, 18, 17, 40, 24, 48, 24, 40, 19, 37, 18, 16, 16, 14, 28, 22, 26, 25, 21, 28, 16, 36, 13, 33, 14, 22, 13, 14, 14, 14, 36, 24, 24, 21, 23, 25, 16, 29, 19, 15, 14, 14, 16, 13, 19, 32, 27, 27, 23, 35, 21, 13, 76, 24, 46, 16, 22, 16, 26, 34, 16, 34, 14, 21, 64, 14, 16, 31, 18, 14, 12, 13, 16, 16, 24, 14, 14, 18, 18, 59, 40, 19, 49, 36, 31, 46, 26, 31, 17]
[42, 25, 22, 22, 22, 33, 20, 20, 22, 0, 20, 20, 18, 40, 23, 24, 21, 22, 20, 21, 25, 22, 22, 24, 23, 22, 31, 22, 24, 21, 45, 22, 22, 22, 22, 24, 23, 22, 22, 24, 22, 20, 22, 22, 22, 38, 24, 45, 20, 39, 22, 35, 20, 20, 23, 21, 28, 24, 25, 23, 22, 29, 22, 37, 22, 33, 21, 22, 22, 22, 22, 22, 37, 22, 24, 24, 23, 24, 22, 29, 22, 22, 22, 22, 22, 22, 24, 30, 24, 26, 25, 35, 22, 22, 78, 29, 42, 22, 24, 24, 24, 36, 20, 35, 20, 23, 63, 22, 20, 32, 22, 20, 21, 21, 24, 24, 26, 22, 20, 23, 23, 56, 38, 24, 45, 35, 29, 43, 28, 32, 23]
