[57.0, 9.0, 7.0, 10.0, 16.0, 12.0, 14.0, 15.0, 18.0, 8.0, 10.0, 14.0, 16.0, 15.0, 16.0, 17.0, 15.0, 16.0, 14.0, 16.0, 11.0, 29.0, 15.0, 13.0, 13.0, 15.0, 14.0, 36.0, 17.0, 20.0, 19.0, 17.0, 18.0]
[57.0, 9.0, 6.0, 7.0, 17.0, 11.0, 14.0, 16.0, 17.0, 9.0, 10.0, 17.0, 16.0, 16.0, 15.0, 16.0, 15.0, 16.0, 17.0, 16.0, 12.0, 28.0, 15.0, 12.0, 13.0, 15.0, 14.0, 37.0, 17.0, 21.0, 20.0, 16.0, 18.0]
[58.0, 9.0, 12.0, 11.0, 18.0, 12.0, 15.0, 16.0, 17.0, 11.0, 13.0, 16.0, 15.0, 17.0, 16.0, 18.0, 16.0, 16.0, 15.0, 17.0, 13.0, 29.0, 15.0, 13.0, 13.0, 16.0, 15.0, 36.0, 16.0, 21.0, 21.0, 14.0, 17.0]
[57.0, 15.0, 25.0, 3.0, 15.0, 15.0, 15.0, 16.0, 16.0, 25.0, 4.0, 16.0, 16.0, 15.0, 15.0, 16.0, 15.0, 16.0, 16.0, 16.0, 22.0, 32.0, 16.0, 15.0, 16.0, 15.0, 16.0, 32.0, 16.0, 16.0, 16.0, 16.0, 16.0]
[60.0, 15.0, 12.0, 12.0, 15.0, 15.0, 15.0, 16.0, 16.0, 13.0, 13.0, 16.0, 16.0, 16.0, 15.0, 15.0, 16.0, 16.0, 16.0, 16.0, 14.0, 32.0, 16.0, 16.0, 16.0, 16.0, 16.0, 32.0, 16.0, 16.0, 16.0, 16.0, 16.0]
[60.0, 14.0, 10.0, 11.0, 15.0, 15.0, 15.0, 16.0, 16.0, 11.0, 12.0, 16.0, 16.0, 16.0, 15.0, 16.0, 15.0, 16.0, 16.0, 16.0, 13.0, 32.0, 16.0, 15.0, 16.0, 15.0, 16.0, 32.0, 16.0, 16.0, 16.0, 16.0, 16.0]
[59.0, 15.0, 8.0, 8.0, 16.0, 14.0, 15.0, 16.0, 16.0, 9.0, 9.0, 16.0, 16.0, 16.0, 14.0, 15.0, 15.0, 16.0, 16.0, 16.0, 11.0, 33.0, 16.0, 17.0, 17.0, 15.0, 16.0, 30.0, 16.0, 14.0, 14.0, 16.0, 15.0]
[60.0, 15.0, 14.0, 15.0, 15.0, 13.0, 15.0, 16.0, 16.0, 15.0, 15.0, 16.0, 16.0, 15.0, 14.0, 16.0, 15.0, 16.0, 16.0, 16.0, 15.0, 32.0, 16.0, 15.0, 16.0, 15.0, 16.0, 31.0, 16.0, 16.0, 16.0, 16.0, 15.0]
[61.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 16.0, 16.0, 15.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 16.0, 16.0, 16.0, 16.0, 32.0, 16.0, 15.0, 16.0, 15.0, 16.0, 32.0, 16.0, 16.0, 16.0, 16.0, 16.0]
[60.0, 14.0, 10.0, 10.0, 15.0, 15.0, 15.0, 16.0, 16.0, 11.0, 12.0, 16.0, 16.0, 16.0, 15.0, 16.0, 15.0, 16.0, 16.0, 16.0, 12.0, 32.0, 16.0, 16.0, 16.0, 15.0, 16.0, 32.0, 16.0, 16.0, 16.0, 16.0, 16.0]
