[0, 6, 7, 6, 9, 26, 41, 45, 31, 18, 27, 6, 16, 24, 20, 20, 20, 20, 22, 31, 18, 26, 36, 30, 27, 16, 47, 22, 59, 11, 20, 23, 28, 13, 10, 62, 18, 35, 15, 14, 15, 17, 17, 73, 12, 26, 45, 46, 51, 53, 12]
[6, 0, 11, 8, 11, 24, 39, 45, 29, 16, 25, 10, 12, 19, 20, 19, 20, 20, 19, 30, 19, 25, 34, 27, 24, 16, 44, 21, 53, 13, 20, 25, 26, 14, 12, 60, 18, 35, 15, 14, 16, 14, 17, 73, 14, 26, 41, 44, 49, 54, 14]
[7, 11, 0, 5, 6, 26, 41, 44, 28, 19, 25, 3, 15, 22, 21, 20, 20, 20, 20, 32, 19, 26, 35, 31, 27, 16, 46, 21, 57, 13, 20, 26, 27, 10, 6, 61, 18, 33, 16, 14, 15, 15, 17, 72, 12, 26, 44, 46, 51, 53, 12]
[6, 8, 5, 0, 6, 26, 41, 45, 29, 18, 25, 4, 15, 22, 21, 21, 20, 22, 20, 32, 19, 26, 35, 31, 27, 16, 46, 21, 59, 13, 20, 25, 27, 11, 8, 62, 18, 33, 16, 16, 13, 16, 17, 73, 12, 26, 44, 46, 51, 53, 10]
[9, 11, 6, 6, 0, 26, 41, 45, 30, 19, 25, 5, 16, 23, 21, 21, 20, 21, 20, 33, 19, 26, 35, 31, 27, 16, 46, 21, 59, 13, 20, 26, 27, 7, 5, 62, 18, 35, 16, 16, 15, 16, 18, 73, 12, 26, 44, 46, 51, 52, 12]
[26, 24, 26, 26, 26, 0, 35, 41, 17, 26, 29, 26, 23, 25, 28, 26, 26, 26, 26, 34, 26, 28, 36, 28, 24, 24, 42, 26, 57, 26, 26, 29, 28, 25, 26, 57, 24, 37, 25, 26, 28, 24, 26, 72, 26, 28, 44, 42, 49, 55, 25]
[41, 39, 41, 41, 41, 35, 0, 43, 38, 39, 41, 41, 37, 37, 43, 41, 41, 41, 39, 42, 40, 38, 40, 39, 34, 37, 43, 38, 52, 40, 40, 39, 38, 40, 41, 56, 36, 42, 40, 40, 42, 38, 41, 74, 41, 39, 46, 42, 47, 55, 41]
[45, 45, 44, 45, 45, 41, 43, 0, 38, 43, 43, 45, 44, 43, 45, 43, 43, 45, 38, 41, 42, 40, 39, 43, 44, 39, 47, 41, 56, 44, 45, 43, 45, 45, 45, 60, 44, 43, 45, 41, 45, 45, 41, 74, 45, 47, 44, 45, 51, 49, 44]
[31, 29, 28, 29, 30, 17, 38, 38, 0, 27, 31, 29, 29, 31, 33, 29, 29, 31, 26, 29, 30, 29, 33, 31, 30, 31, 44, 32, 59, 31, 32, 29, 33, 31, 30, 58, 31, 31, 31, 27, 31, 30, 27, 74, 31, 31, 36, 45, 50, 51, 31]
[18, 16, 19, 18, 19, 26, 39, 43, 27, 0, 27, 19, 19, 24, 21, 21, 18, 24, 20, 30, 21, 24, 33, 30, 27, 19, 46, 23, 59, 19, 22, 25, 27, 19, 19, 60, 18, 33, 19, 15, 19, 19, 19, 74, 19, 26, 41, 46, 50, 52, 18]
