[0, 53, 53, 49, 54, 50, 7, 53, 41, 50, 54, 50, 50, 3, 53, 52, 51, 53, 52, 62, 62, 58, 60, 55, 46, 55, 56, 60, 57, 55, 56, 60, 54, 56, 57, 58, 60, 54, 56, 52, 51]
[53, 0, 14, 18, 13, 16, 46, 14, 22, 16, 15, 16, 16, 55, 14, 24, 12, 14, 14, 64, 56, 22, 17, 34, 29, 40, 18, 17, 17, 17, 17, 16, 23, 18, 18, 18, 17, 48, 17, 19, 20]
[53, 14, 0, 17, 8, 6, 46, 2, 17, 6, 10, 6, 6, 53, 6, 23, 8, 9, 6, 62, 57, 20, 11, 34, 29, 40, 12, 11, 11, 11, 11, 12, 21, 14, 21, 13, 12, 46, 10, 16, 18]
[49, 18, 17, 0, 14, 18, 44, 16, 20, 18, 18, 18, 18, 49, 16, 22, 16, 16, 18, 63, 57, 22, 20, 33, 27, 40, 20, 20, 20, 20, 20, 20, 24, 20, 23, 18, 20, 46, 21, 18, 21]
[54, 13, 8, 14, 0, 10, 47, 8, 20, 10, 8, 10, 10, 54, 9, 23, 5, 5, 8, 65, 59, 20, 9, 34, 29, 40, 14, 12, 9, 9, 9, 12, 23, 16, 21, 11, 12, 48, 13, 16, 19]
[50, 16, 6, 18, 10, 0, 43, 6, 16, 0, 16, 0, 0, 50, 8, 26, 7, 9, 4, 66, 59, 20, 10, 32, 26, 38, 14, 12, 7, 7, 8, 12, 23, 16, 18, 12, 12, 47, 10, 19, 19]
[7, 46, 46, 44, 47, 43, 0, 46, 34, 43, 47, 43, 43, 10, 46, 46, 44, 46, 45, 69, 59, 53, 53, 49, 42, 51, 49, 53, 50, 48, 49, 53, 49, 49, 50, 51, 53, 51, 49, 45, 44]
[53, 14, 2, 16, 8, 6, 46, 0, 18, 6, 12, 6, 6, 53, 8, 25, 8, 9, 6, 63, 59, 20, 11, 34, 29, 39, 14, 12, 11, 11, 11, 12, 23, 16, 21, 13, 12, 48, 10, 18, 18]
[41, 22, 17, 20, 20, 16, 34, 18, 0, 16, 18, 16, 16, 42, 15, 24, 19, 21, 20, 61, 56, 26, 26, 30, 22, 36, 20, 26, 23, 21, 22, 26, 22, 22, 24, 26, 26, 42, 23, 20, 19]
[50, 16, 6, 18, 10, 0, 43, 6, 16, 0, 16, 0, 0, 50, 8, 26, 7, 9, 4, 66, 59, 20, 10, 32, 26, 38, 14, 12, 7, 7, 8, 12, 23, 16, 18, 12, 12, 47, 10, 19, 19]
[54, 15, 10, 18, 8, 16, 47, 12, 18, 16, 0, 16, 16, 54, 13, 20, 12, 12, 14, 61, 54, 20, 16, 32, 29, 36, 15, 16, 16, 16, 16, 16, 20, 17, 22, 17, 16, 40, 16, 15, 17]
[50, 16, 6, 18, 10, 0, 43, 6, 16, 0, 16, 0, 0, 50, 8, 26, 7, 9, 4, 66, 59, 20, 10, 32, 26, 38, 14, 12, 7, 7, 8, 12, 23, 16, 18, 12, 12, 47, 10, 19, 19]
[50, 16, 6, 18, 10, 0, 43, 6, 16, 0, 16, 0, 0, 50, 8, 26, 7, 9, 4, 66, 59, 20, 10, 32, 26, 38, 14, 12, 7, 7, 8, 12, 23, 16, 18, 12, 12, 47, 10, 19, 19]
[3, 55, 53, 49, 54, 50, 10, 53, 42, 50, 54, 50, 50, 0, 53, 54, 51, 53, 52, 60, 62, 58, 60, 57, 46, 55, 56, 60, 57, 55, 56, 60, 54, 56, 57, 58, 60, 56, 56, 52, 51]
[53, 14, 6, 16, 9, 8, 46, 8, 15, 8, 13, 8, 8, 53, 0, 26, 6, 8, 8, 64, 55, 18, 13, 32, 29, 38, 12, 12, 13, 13, 13, 13, 21, 14, 21, 15, 13, 46, 12, 20, 20]
